,State,firearmRegRequired,permitReqToCarry,permitReqToPurchase,openCarryLegal,Number of Registered Weapons
0,Washington,True,True,False,True,"119,829"
1,New York,True,True,True,False,"82,917"
2,New Jersey,True,True,True,False,"90,217"
3,Michigan,True,True,False,True,"83,355"
4,Maryland,True,True,True,True,"128,289"
5,Hawaii,True,True,True,True,"8,665"
6,Connecticut,True,True,True,True,"74,877"
7,California,True,True,True,,"376,666"
8,Wyoming,False,False,False,True,"134,050"
9,Wisconsin,False,True,False,True,"79,639"
10,West Virginia,False,False,False,True,"41,651"
11,Virginia,False,True,False,True,"356,963"
12,Vermont,False,False,False,True,"7,716"
13,Utah,False,True,False,True,"93,440"
14,Texas,False,True,False,True,"725,368"
15,Tennessee,False,True,False,True,"121,140"
16,South Dakota,False,True,False,True,"31,134"
17,South Carolina,False,True,False,False,"99,283"
18,Rhode Island,False,True,True,True,"4,655"
19,Pennsylvania,False,True,False,True,"271,427"
20,Oregon,False,True,False,True,"74,722"
21,Oklahoma,False,True,False,True,"83,112"
22,Ohio,False,True,False,True,"175,819"
23,North Dakota,False,True,True,True,"19,720"
24,North Carolina,False,True,True,True,"181,209"
25,New Mexico,False,True,False,True,"105,836"
26,New Hampshire,False,False,False,True,"59,341"
27,Nevada,False,True,False,True,"96,822"
28,Nebraska,False,True,True,True,"29,753"
29,Montana,False,False,False,True,"23,476"
30,Missouri,False,False,False,True,"88,270"
31,Mississippi,False,False,False,True,"52,346"
32,Minnesota,False,True,True,True,"98,585"
33,Massachusetts,False,True,True,True,"39,886"
34,Maine,False,False,False,True,"17,410"
35,Louisiana,False,True,False,True,"116,398"
36,Kentucky,False,True,False,True,"93,719"
37,Kansas,False,False,False,True,"54,409"
38,Iowa,False,True,True,True,"36,540"
39,Indiana,False,True,False,True,"133,594"
40,Illinois,False,True,True,False,"147,698"
41,Idaho,False,False,False,True,"58,797"
42,Georgia,False,True,False,True,"225,993"
43,Florida,False,True,False,False,"432,581"
44,Delaware,False,True,False,True,"5,281"
45,Colorado,False,True,False,,"112,691"
46,Arkansas,False,False,False,True,"108,801"
47,Arizona,False,False,False,True,"204,817"
48,Alaska,False,False,False,True,"20,520"
49,Alabama,False,True,False,True,"168,265"
