,State,Registration Required,Permit to Carry Required,Permit to Purchase Required,Open Carry is Legal,Number of Registered Weapons,Incident Date,City Or County,Address,# Killed,# Injured
0,Washington,True,True,False,True,"119,829",21-Nov-19,Everett,120 West Casino Rd,0.0,4.0
1,Washington,True,True,False,True,"119,829",13-Aug-19,Tacoma,E 38th St and E Roosevelt Ave,2.0,3.0
2,Washington,True,True,False,True,"119,829",26-Jul-19,Kennewick,E 10th Ave,1.0,3.0
3,Washington,True,True,False,True,"119,829",8-Jun-19,White Swan,5151 Medicine Valley Rd,5.0,2.0
4,New York,True,True,True,False,"82,917",29-Dec-19,Buffalo,50 block of Henrietta Ave,1.0,3.0
5,New York,True,True,True,False,"82,917",27-Nov-19,Bronx,E 153rd St and Courtlandt Ave,0.0,5.0
6,New York,True,True,True,False,"82,917",12-Oct-19,Brooklyn,75 Utica Ave,4.0,3.0
7,New York,True,True,True,False,"82,917",5-Aug-19,Brooklyn,216 Buffalo Ave,0.0,4.0
8,New York,True,True,True,False,"82,917",27-Jul-19,Brooklyn,1555 Linden Blvd,1.0,11.0
9,New York,True,True,True,False,"82,917",5-Jul-19,Brooklyn,Elton St and Belmont Ave,0.0,4.0
10,New York,True,True,True,False,"82,917",30-Jun-19,Bay Shore,Farragut Ave,0.0,6.0
11,New York,True,True,True,False,"82,917",9-Jun-19,Buffalo,2081 Niagara St,0.0,4.0
12,New York,True,True,True,False,"82,917",6-Feb-19,Brooklyn,1778 Fulton St,1.0,3.0
13,New Jersey,True,True,True,False,"90,217",10-Dec-19,Jersey City,223 Martin Luther King Dr,6.0,3.0
14,New Jersey,True,True,True,False,"90,217",18-Nov-19,Newark,139 S 8th St,1.0,4.0
15,New Jersey,True,True,True,False,"90,217",28-Jun-19,Paterson,50 block of Jefferson St,0.0,4.0
16,New Jersey,True,True,True,False,"90,217",28-Jun-19,Jersey City,167 Armstrong Ave,0.0,4.0
17,New Jersey,True,True,True,False,"90,217",18-Jun-19,Newark,700 block of Dr Martin Luther King Jr Blvd,1.0,4.0
18,New Jersey,True,True,True,False,"90,217",27-May-19,Trenton,100 block of Walnut St,1.0,5.0
19,New Jersey,True,True,True,False,"90,217",25-May-19,Trenton,225 Brunswick Ave,0.0,9.0
20,New Jersey,True,True,True,False,"90,217",5-May-19,North Bergen,2033 45th Street,1.0,4.0
21,New Jersey,True,True,True,False,"90,217",16-Mar-19,Camden,619 Ferry Ave,1.0,3.0
22,New Jersey,True,True,True,False,"90,217",11-Mar-19,Paterson,291 12th Ave,0.0,4.0
23,New Jersey,True,True,True,False,"90,217",26-Jan-19,Newark,612 Bergen St,1.0,3.0
24,Michigan,True,True,False,True,"83,355",1-Dec-19,Kalamazoo,6300 block of Proctor St,1.0,3.0
25,Michigan,True,True,False,True,"83,355",9-Nov-19,Detroit,3800 block of E McNichols Rd,0.0,4.0
26,Michigan,True,True,False,True,"83,355",2-Nov-19,Detroit,7000 block of E. Kirby,1.0,4.0
27,Michigan,True,True,False,True,"83,355",27-Oct-19,Detroit,East Outer Dr and Helen St,0.0,4.0
28,Michigan,True,True,False,True,"83,355",27-Oct-19,Lansing,Balfour Dr and W Miller Rd,1.0,4.0
29,Michigan,True,True,False,True,"83,355",12-Oct-19,Eastpointe,15163 E 10 Mile Rd,1.0,5.0
30,Michigan,True,True,False,True,"83,355",7-Jul-19,Flint,Clio Rd and Myrtle St,0.0,6.0
31,Michigan,True,True,False,True,"83,355",21-Jun-19,Saginaw,1506 N Charles St,1.0,3.0
32,Michigan,True,True,False,True,"83,355",25-May-19,Detroit,3400 block of Devonshire,3.0,2.0
33,Maryland,True,True,True,True,"128,289",22-Dec-19,Baltimore,225 Park Ave,0.0,7.0
34,Maryland,True,True,True,True,"128,289",29-Oct-19,Baltimore,4700 block of Liberty Heights Ave,1.0,3.0
35,Maryland,True,True,True,True,"128,289",28-Oct-19,Baltimore,4160 Pimlico Rd,1.0,3.0
36,Maryland,True,True,True,True,"128,289",12-Oct-19,Baltimore,800 block of W Lexington St,1.0,3.0
37,Maryland,True,True,True,True,"128,289",9-Oct-19,Baltimore,1600 block of W North Ave,1.0,3.0
38,Maryland,True,True,True,True,"128,289",31-Aug-19,Baltimore,900 block of N Monroe St,0.0,4.0
39,Maryland,True,True,True,True,"128,289",31-Aug-19,Frederick,600 block of N Market St,0.0,4.0
40,Maryland,True,True,True,True,"128,289",30-Aug-19,Baltimore,1600 block of E 29th St,1.0,3.0
41,Maryland,True,True,True,True,"128,289",29-Aug-19,Baltimore,2500 block of E Monument St,1.0,3.0
42,Maryland,True,True,True,True,"128,289",24-Aug-19,Temple Hills (Camp Springs),6200 block of Maxwell Dr,0.0,7.0
43,Maryland,True,True,True,True,"128,289",20-Jul-19,Baltimore,2800 block of Boarman Ave,1.0,3.0
44,Maryland,True,True,True,True,"128,289",1-Jul-19,Baltimore,1200 block of N Luzerne Ave,0.0,4.0
45,Maryland,True,True,True,True,"128,289",22-Jun-19,Baltimore,800 block of N Port St,1.0,4.0
46,Maryland,True,True,True,True,"128,289",25-May-19,Baltimore,500 block of N Belnord Ave,0.0,4.0
47,Maryland,True,True,True,True,"128,289",3-May-19,Baltimore,1900 block of Ramsay St,0.0,5.0
48,Maryland,True,True,True,True,"128,289",3-May-19,Baltimore,2500 block of E Biddle St,0.0,4.0
49,Maryland,True,True,True,True,"128,289",28-Apr-19,Baltimore,2544 Edmondson Ave,1.0,7.0
50,Maryland,True,True,True,True,"128,289",16-Apr-19,Germantown,18700 block of Curry Powder Ln,1.0,3.0
51,Maryland,True,True,True,True,"128,289",11-Apr-19,Baltimore,2200 block of Ruskin Ave,1.0,3.0
52,Maryland,True,True,True,True,"128,289",28-Mar-19,Baltimore,6200 block of Boston St,0.0,4.0
53,Maryland,True,True,True,True,"128,289",21-Feb-19,Baltimore,500 block of Bloom St,1.0,4.0
54,Hawaii,True,True,True,True,"8,665",,,,,
55,Connecticut,True,True,True,True,"74,877",1-Sep-19,Hartford,80 Edgewood St,1.0,3.0
56,Connecticut,True,True,True,True,"74,877",29-Jun-19,Hartford,Judson St and Martin St,0.0,4.0
