"Number of registered weapons in the U.S. in 2019, by state",
Texas,"725,368"
Florida,"432,581"
California,"376,666"
Virginia,"356,963"
Pennsylvania,"271,427"
Georgia,"225,993"
Arizona,"204,817"
North Carolina,"181,209"
Ohio,"175,819"
Alabama,"168,265"
Illinois,"147,698"
Wyoming,"134,050"
Indiana,"133,594"
Maryland,"128,289"
Tennessee,"121,140"
Washington,"119,829"
Louisiana,"116,398"
Colorado,"112,691"
Arkansas,"108,801"
New Mexico,"105,836"
South Carolina,"99,283"
Minnesota,"98,585"
Nevada,"96,822"
Kentucky,"93,719"
Utah,"93,440"
New Jersey,"90,217"
Missouri,"88,270"
Michigan,"83,355"
Oklahoma,"83,112"
New York,"82,917"
Wisconsin,"79,639"
Connecticut,"74,877"
Oregon,"74,722"
District of Columbia,"59,832"
New Hampshire,"59,341"
Idaho,"58,797"
Kansas,"54,409"
Mississippi,"52,346"
West Virginia,"41,651"
Massachusetts,"39,886"
Iowa,"36,540"
South Dakota,"31,134"
Nebraska,"29,753"
Montana,"23,476"
Alaska,"20,520"
North Dakota,"19,720"
Maine,"17,410"
Hawaii,"8,665"
Vermont,"7,716"
Delaware,"5,281"
Rhode Island,"4,655"
*Other US Territories,866
